paintseed,paintwear,rank(all),rank(magzine),rank(top),rank(bottom)
942,0.02165699563920498,1,8,7,54
941,0.009381481446325779,2,2,2,108
423,0.025400130078196526,3,1,3,33
776,0.0033696836326271296,4,65,88,75
590,0.0057706707157194614,5,14,15,60
65,0.0006636874750256538,6,9,10,47
154,0.0045175920240581036,7,11,22,25
984,0.0004559072549454868,8,4,13,1
17,0.018184106796979904,9,3,4,133
871,0.006582454312592745,10,6,9,17
830,0.00341266137547791,11,10,19,30
172,7.831518450984731e-05,12,12,24,27
868,0.0009423737647011876,13,18,21,48
39,0.007609306834638119,14,15,34,24
527,0.0018251354340463877,15,17,8,77
282,0.0026476376224309206,16,20,50,15
251,0.005102903116494417,17,7,27,12
556,0.022357478737831116,18,5,14,4
689,0.0002855432394426316,19,13,47,2
555,0.002267919247969985,20,31,79,5
351,0.003373711369931698,21,19,29,36
456,0.0004989831359125674,22,40,51,79
272,0.0202650036662817,23,16,1,359
317,0.0012868312187492847,24,27,38,65
877,0.036102306097745895,25,67,31,176
680,0.004582283552736044,26,22,55,11
373,0.010362221859395504,27,21,25,58
169,0.0013661017874255776,28,34,42,81
332,0.0005993194645270705,29,35,59,41
358,0.004748322535306215,30,25,39,50
51,0.0024424782022833824,31,47,66,59
472,0.00173033750616014,32,29,63,21
765,0.0033847452141344547,33,36,61,39
968,0.0038120592944324017,34,43,74,32
16,0.004582271911203861,35,26,64,9
738,0.0018601471092551947,36,37,76,14
879,0.0033292185980826616,37,46,84,16
375,0.011565768159925938,38,24,56,18
806,0.005748162977397442,39,30,52,49
815,0.0046381596475839615,40,42,6,141
822,0.00756221916526556,41,33,83,3
468,0.006599347572773695,42,23,44,40
950,0.019733794033527374,43,39,58,45
670,0.001280921627767384,44,59,48,122
743,0.0033553405664861202,45,64,114,8
705,0.008369908668100834,46,41,32,96
290,0.005473809782415628,47,44,68,46
715,0.00541389686986804,48,62,117,6
797,0.01147234532982111,49,48,89,13
966,0.009277347475290298,50,45,65,51
212,0.006774003151804209,51,50,45,105
536,0.01554087270051241,52,38,16,112
816,0.005490039009600878,53,58,99,29
231,0.008778335526585579,54,52,81,43
937,0.014229297637939453,55,49,20,123
646,0.01457619946449995,56,32,53,61
27,0.005662966053932905,57,66,11,216
544,0.016841929405927658,58,53,30,118
60,0.00602089473977685,59,71,49,179
330,0.010284586809575558,60,74,107,78
999,0.00954617653042078,61,61,36,144
528,0.008505288511514664,62,69,12,249
23,0.012150994502007961,63,57,41,126
854,0.018028587102890015,64,63,37,156
7,0.01482157502323389,65,60,101,31
522,0.03254271298646927,66,28,28,80
432,0.012010999955236912,67,77,77,130
101,0.008887512609362602,68,72,18,209
369,0.017286155372858047,69,76,57,187
100,0.015603533014655113,70,56,23,162
913,0.025056736543774605,71,54,80,53
61,0.015923501923680305,72,75,111,73
929,0.0017052011098712683,73,93,180,7
751,0.004674294963479042,74,88,141,62
144,0.018027912825345993,75,68,93,69
587,0.0024912268854677677,76,94,138,84
998,0.020056890323758125,77,70,62,125
402,0.006817322224378586,78,105,92,219
725,0.02805025316774845,79,51,46,104
837,0.007893952541053295,80,99,165,42
1,0.010397417470812798,81,85,75,191
975,0.014930357225239277,82,78,122,67
11,0.03401642665266991,83,55,60,94
902,0.013502908870577812,84,90,140,68
8,0.018355397507548332,85,80,95,109
3,0.01998754031956196,86,84,26,301
126,0.009440668858587742,87,100,85,240
907,0.001172041753306985,88,107,149,98
780,0.0068769617937505245,89,115,207,26
754,0.01591319590806961,90,95,144,83
253,0.02635536529123783,91,73,67,138
520,0.0030676175374537706,92,109,158,89
72,0.010692098177969456,93,106,170,63
188,0.021943354979157448,94,79,73,154
862,0.017689375206828117,95,87,137,66
650,0.022456418722867966,96,83,112,91
230,0.013000702485442162,97,101,192,20
770,0.02260105311870575,98,89,145,57
564,0.004539084620773792,99,124,129,161
167,0.011460495181381702,100,122,203,38
706,0.029326792806386948,101,81,72,157
388,0.027845000848174095,102,82,35,261
442,0.007890259847044945,103,114,200,34
217,0.020009711384773254,104,96,139,87
53,0.013980708085000515,105,104,172,52
976,0.022102726623415947,106,86,135,70
350,0.02864961512386799,107,91,17,352
932,0.002292293356731534,108,142,169,121
821,0.01421517413109541,109,127,190,71
700,0.019315317273139954,110,120,182,76
494,0.022305285558104515,111,111,82,287
195,0.019455958157777786,112,137,211,37
377,0.01735886186361313,113,113,147,113
863,0.017099104821681976,114,110,179,56
802,0.03703723102807999,115,97,5,432
658,0.026826290413737297,116,125,110,230
279,0.014774917624890804,117,136,217,19
236,0.02024896629154682,118,118,106,220
75,0.021517936140298843,119,117,164,86
914,0.021110443398356438,120,112,178,64
958,0.02391740493476391,121,126,142,132
835,0.027941882610321045,122,103,143,99
915,0.0019122464582324028,123,158,229,74
801,0.016131529584527016,124,162,255,23
731,0.017686698585748672,125,139,125,218
543,0.01255186740309,126,152,131,284
264,0.03207537159323692,127,134,171,101
166,0.02677423134446144,128,119,43,398
298,0.015541465021669865,129,151,118,309
851,0.02430972084403038,130,132,69,355
588,0.03683449700474739,131,143,199,93
884,0.02699190005660057,132,141,134,202
484,0.021595854312181473,133,133,54,400
104,0.04136306047439575,134,131,121,206
905,0.0010267974575981498,135,188,262,72
239,0.03952012583613396,136,140,33,464
820,0.019462786614894867,137,157,154,224
773,0.031695663928985596,138,135,104,276
168,0.013679726049304008,139,176,205,203
617,0.03289242833852768,140,108,90,246
903,0.026654018089175224,141,129,127,185
526,0.04056756570935249,142,116,78,296
147,0.038431715220212936,143,123,115,198
425,0.04795164614915848,144,92,40,313
476,0.017262665554881096,145,146,231,35
631,0.03806150704622269,146,121,132,151
571,0.014607541263103485,147,170,201,168
826,0.015617595985531807,148,169,176,214
910,0.015621655620634556,149,189,209,226
50,0.01521221548318863,150,185,184,282
752,0.028946824371814728,151,145,105,331
782,0.029421508312225342,152,148,71,429
440,0.018957357853651047,153,155,162,200
711,0.021301329135894775,154,167,157,266
209,0.04357520863413811,155,144,161,147
153,0.03961658105254173,156,102,119,139
704,0.008934094570577145,157,183,238,114
77,0.020192746073007584,158,154,128,291
486,0.01982547529041767,159,159,221,88
416,0.02340051531791687,160,149,194,120
967,0.03929470479488373,161,147,204,107
459,0.027727855369448662,162,165,196,174
749,0.043808307498693466,163,98,113,136
227,0.02162633091211319,164,175,133,362
392,0.030041826888918877,165,156,152,232
192,0.03841882199048996,166,161,91,423
322,0.042472824454307556,167,128,136,155
832,0.032908350229263306,168,171,120,377
925,0.02290111407637596,169,177,150,329
194,0.047590818256139755,170,130,102,262
304,0.032865677028894424,171,173,206,195
460,0.04114623740315437,172,138,146,160
948,0.02069874480366707,173,191,269,55
124,0.02523154392838478,174,182,94,491
717,0.028156133368611336,175,192,181,297
971,0.042216263711452484,176,160,108,383
302,0.03352544084191322,177,174,87,486
59,0.019123651087284088,178,199,257,97
482,0.043027363717556,179,153,70,441
577,0.014758811332285404,180,204,245,140
825,0.04360174760222435,181,168,167,237
229,0.02076892741024494,182,203,292,22
977,0.04272521659731865,183,193,166,319
9,0.041111793369054794,184,186,189,268
215,0.027026567608118057,185,195,163,333
307,0.03477364033460617,186,172,168,256
283,0.04402611777186394,187,263,254,392
726,0.049757711589336395,188,163,185,190
438,0.033988580107688904,189,166,98,416
513,0.04707116261124611,190,150,109,343
641,0.018044976517558098,191,216,308,28
911,0.04550563171505928,192,179,202,223
790,0.03400222584605217,193,201,224,186
730,0.042465727776288986,194,190,159,344
880,0.047270290553569794,195,164,116,357
534,0.037479568272829056,196,196,193,286
593,0.04465065151453018,197,200,151,384
973,0.03869348019361496,198,209,213,274
12,0.03930111974477768,199,181,148,353
445,0.030139358714222908,200,212,195,356
757,0.04612094536423683,201,180,100,474
427,0.03205948695540428,202,202,219,208
485,0.0476154200732708,203,184,187,270
213,0.042907316237688065,204,187,186,273
667,0.024693138897418976,205,227,275,183
127,0.04120727255940437,206,207,247,149
987,0.040511153638362885,207,220,214,323
149,0.0370628796517849,208,213,239,197
814,0.04232010245323181,209,206,177,349
747,0.05066016688942909,210,194,212,207
935,0.03914448991417885,211,214,126,506
202,0.044486481696367264,212,198,96,502
453,0.049688950181007385,213,178,130,386
186,0.04048094525933266,214,210,174,387
580,0.009404134936630726,215,249,278,260
970,0.01652783527970314,216,258,287,269
204,0.02012355998158455,217,241,291,164
207,0.027106614783406258,218,222,260,192
718,0.03602498024702072,219,217,263,145
223,0.02553546614944935,220,233,304,103
630,0.028722437098622322,221,243,279,222
777,0.04216615855693817,222,197,222,172
500,0.035572394728660583,223,208,242,169
939,0.026128645986318588,224,232,226,338
391,0.03820689395070076,225,219,123,535
668,0.022259719669818878,226,236,227,367
567,0.023526974022388458,227,235,348,10
956,0.02450525388121605,228,245,343,44
569,0.03171283006668091,229,229,160,498
150,0.04402083158493042,230,215,253,173
294,0.03851867839694023,231,211,155,434
531,0.013222508132457733,232,261,332,102
954,0.047258879989385605,233,205,86,550
156,0.03953523933887482,234,230,153,516
408,0.03877738118171692,235,223,288,116
578,0.04346724599599838,236,234,208,436
657,0.03746040165424347,237,254,220,462
32,0.029288511723279953,238,238,270,244
324,0.03769725561141968,239,221,241,235
406,0.03628172352910042,240,228,296,115
249,0.04735082387924194,241,224,156,496
740,0.0456780269742012,242,225,183,448
804,0.03740189969539642,243,244,216,428
857,0.03329727053642273,244,237,197,482
455,0.045625850558280945,245,218,218,308
132,0.040567439049482346,246,239,274,233
923,0.022220749408006668,247,257,267,328
99,0.026707042008638382,248,256,316,137
48,0.039079636335372925,249,226,225,316
741,0.040879033505916595,250,240,232,361
318,0.03832719102501869,251,248,173,537
94,0.029861005023121834,252,268,309,211
475,0.04163666069507599,253,255,312,150
200,0.04377661645412445,254,242,272,245
748,0.04414840787649155,255,246,228,396
729,0.03453117981553078,256,259,277,304
778,0.02005430869758129,257,287,347,158
337,0.04326105862855911,258,247,236,382
495,0.03490636125206947,259,267,325,143
256,0.02385769411921501,260,288,306,299
243,0.026972996070981026,261,283,327,212
190,0.024528374895453453,262,294,331,213
959,0.04452303797006607,263,265,299,248
843,0.051282644271850586,264,251,103,613
46,0.021304793655872345,265,304,394,92
875,0.038847263902425766,266,274,310,227
727,0.02702058106660843,267,285,342,167
720,0.0415213443338871,268,282,215,551
191,0.04026712849736214,269,300,326,267
589,0.03169332817196846,270,296,360,135
478,0.04227854683995247,271,252,307,146
894,0.04764381796121597,272,250,233,409
733,0.04267364367842674,273,264,223,472
557,0.039675526320934296,274,276,303,285
846,0.05072741582989693,275,260,124,602
503,0.04130508378148079,276,278,244,470
504,0.060680169612169266,277,231,175,479
983,0.03479843959212303,278,301,294,393
568,0.045024652034044266,279,286,237,508
115,0.04064904898405075,280,281,282,363
30,0.04120879992842674,281,293,285,394
756,0.03949149698019028,282,284,271,421
95,0.041557300835847855,283,277,249,463
662,0.04699017107486725,284,269,314,189
669,0.03053179942071438,285,323,396,159
364,0.038299303501844406,286,298,301,351
111,0.04226221516728401,287,295,315,283
